X,Y,Location,Road,Area,City,District,Province,UID
74.455,31.1482,Gasoline CNG,Lahore-Qasur Road,,,,Punjab,{CE58BE4F-B99D-460E-970D-C9FD67F3C074}
74.4551,31.1322,Trade Zone Bhatta Gorianwala,Raiwind Road,,Qasur City,,Punjab,{814B0FB3-45C5-474A-B971-9ED15CDE8FCD}
74.4552,31.1142,Govt MC Primary School Sabzi Mandi,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{A543DBE0-E7A1-4DE9-80D7-7EF44A92FAB9}
74.4552,31.1269,Govt Islamia Degree College,College Road,,Qasur City,,Punjab,{8B7684DA-699F-49FA-8871-7A300AEBA646}
74.4552,31.5775,Khurshid House Pull,Canal Road,,Lahore City,District Lahore,Punjab,{F7EDCED3-688C-4F69-98E0-89C99C199505}
74.4555,31.114,Hassan Battery Service,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{AF7EE184-26C3-4832-828F-A8F7FD8B48B6}
74.4555,31.1219,QC Baker & Fast Food,,,Qasur City,,Punjab,{CF53AA17-0574-4B6E-AB0D-D1AACFD87921}
74.4556,31.1304,Play Groud of Islamia College,,,Qasur City,,Punjab,{EB3C64F1-8414-4A43-B73E-4BD11C1DE44D}
74.4556,31.1465,Caltex Pump Near Qasur city,Lahore-Qasur Road,,,,Punjab,{F1E55045-E560-4DBD-8E9F-B2268D2DC9D7}
74.4557,31.1323,Bright Auto Mobile Engineering Works & Car AC,Raiwind Road,,Qasur City,,Punjab,{134A882E-01C3-4D47-AFD0-836B15863305}
74.4557,32.2837,Dalleke,,,Tehsil Daskah,District Sialkot,Punjab,{BDD33752-0D62-44D7-BB6B-6AB3C5064DA3}
74.4559,31.8315,Hayatpur,,,Ferozewala,Sheikhupura,Punjab,{1742BF86-ED7F-47D8-A130-03B0CBF9D587}
74.4561,31.122,Al-Makka Departmental Store,,,Qasur City,,Punjab,{15207275-F93E-441D-AFE5-D9D391A092A1}
74.4562,31.1279,Dera Chauhdary Munir Sajid Khan,College Road,,Qasur City,,Punjab,{DAE81AFC-31E9-4862-B352-D913F0973CB5}
74.4562,31.1323,Mandi Mor,Raiwind Road,,Qasur City,,Punjab,{771EE4E8-F23A-417F-979F-D21DA1F5BC86}
74.4566,31.1281,Chowk Masjid Minarwali,College Road,,Qasur City,,Punjab,{AAF1ED89-9518-4881-AD09-029B06205B98}
74.4566,31.289,Kalian,,,,District Kasur,Punjab,{C39C1C52-3D3D-4DA0-B568-2D13575BD17C}
74.4567,31.122,Pakistan Pharmacy,,,Qasur City,,Punjab,{0D12DDC9-0B84-414F-B42F-29F2C8F96C8A}
74.4568,31.1431,Total Pump near Qasur City,Lahore-Qasur Road,,Qasur City,,Punjab,{0EC69BAB-3A9D-44DF-915C-1578242C6971}
