X,Y,Location,Road,Area,City,District,Province
73.0877,32.6247,Kastian,,,Tehsil Pind Dadan Khan,District Jhelum,Punjab
73.0877,33.5601,Nur Mahal Hotel,GT Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0878,31.4271,Masjid Ghos-e-Azam,,,Faisalabad City,District Faisalabad,Punjab
73.0878,33.7269,American Express Bank,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.088,31.398,Masha Allah Atta Chakki Maqbool Road,,,Faisalabad City,District Faisalabad,Punjab
73.088,31.4337,Deputy Suprident Police Office,,,Faisalabad City,District Faisalabad,Punjab
73.0882,33.7269,Atta Turk Avenue,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0882,33.7409,Sindh House,,,Islamabad City,District Islamabad,Punjab
73.0883,31.4164,Standard Charted Bank Railway Road,,,Faisalabad City,District Faisalabad,Punjab
73.0883,31.4445,Chowk Bole Di Jhuggi,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0883,31.4548,Crescent Mills Gate # 8,,,Faisalabad City,District Faisalabad,Punjab
73.0883,33.7431,Punjab House,,,Islamabad City,District Islamabad,Punjab
73.0885,31.423,Club Road,,,Faisalabad City,District Faisalabad,Punjab
73.0886,30.6645,Central Jail,,,Sahiwal City,,Punjab
73.0886,31.46,Hamzah Street Muslim Park Muslim Town,,,Faisalabad City,District Faisalabad,Punjab
73.0886,33.314,Ranjali,,,Tehsil Gujar Khan,District Rawalpindi,Punjab
73.0887,31.4369,Chandni Chowk New Civil Line Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0887,32.0944,Chak Miana,,,Kotmomin,Sargodha,Punjab
73.0887,33.3972,Pial,,,Tehsil Rawalpindi,District Rawalpindi,Punjab
73.0887,33.6002,Rawal Road,,,Rawalpindi City,District Rawalpindi,Punjab
73.0888,31.3988,Ahmar Traders Maqbool Road,,,Faisalabad City,District Faisalabad,Punjab
73.0888,31.4436,Allied Bank Sargodha Raod,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0889,33.6001,Chohan Chowk,,,Rawalpindi City,District Rawalpindi,Punjab
73.0889,33.706,Masjid Abdullah Bin Abbas,Shahrah-i-Kashmir,,Islamamabad City,Disttirct Islamamabad,Punjab
73.089,31.4318,Assistant Manager Customer Services,,,Faisalabad City,District Faisalabad,Punjab
73.089,33.5581,Kidney Centre,,,Rawalpindi City,District Rawalpindi,Punjab
73.0891,31.4427,Attock Pump Sargodha Road,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0891,31.4555,Crescent Mills North West Corner,,,Faisalabad City,District Faisalabad,Punjab
73.0892,31.4182,State Bank of Pakistan,,,Faisalabad City,District Faisalabad,Punjab
73.0892,33.709,Rehmani Masjid,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0893,31.4287,Chowk,,,Faisalabad City,District Faisalabad,Punjab
73.0893,33.7089,Rehmani Masjid Aabpara Market,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0893,33.7345,Federal Public Service Commission,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0894,30.6038,Chak 101-9L,,,Tehsil Sahiwal,District Sahiwal,Punjab
73.0894,31.3995,MC High School Maqbool Road Faizabad,,,Faisalabad City,District Faisalabad,Punjab
73.0894,31.4355,Naja Taja Kiryana Store New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0894,31.4356,Jamia Masjid Sir Taj New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0894,33.1704,Miana Phumba,,,Tehsil Gujar Khan,District Rawalpindi,Punjab
73.0896,33.7077,Bata & Service Shops,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0897,31.1724,Meluselu,,,Sumundri,Faisalabad,Punjab
73.0897,31.4561,Jamia Masjid Fatima Officer Block Muslim Town,,,Faisalabad City,District Faisalabad,Punjab
73.0898,31.4178,Hyundai Faisalabad Motors,,,Faisalabad City,District Faisalabad,Punjab
73.0898,31.4344,Shahid Chowk New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0899,31.4459,Sahil Hospital Sheikhupura Road,,,Faisalabad City,District Faisalabad,Punjab
73.09,31.4285,Vocational Training Institute,,,Faisalabad City,District Faisalabad,Punjab
73.0901,31.4404,Faisalabad Textile College,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0901,33.5587,Al Shifa Complex Stop,GT Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0901,33.7349,Baluchistan House,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0902,30.6678,Central Jail North East Corner,,,Sahiwal City,,Punjab
73.0902,31.4608,Tooba Masjid Muslim Park,,,Faisalabad City,District Faisalabad,Punjab
73.0902,33.0994,Dumali,,,Tehsil  Chakwal,District Chakwal,Punjab
73.0903,30.6555,Imamia College,,,Sahiwal City,,Punjab
73.0903,31.3984,ATS Public School,,,Faisalabad City,District Faisalabad,Punjab
73.0903,31.9454,Rattapur Rihan,,,Kotmomin,Sargodha,Punjab
73.0903,32.9918,Panj Dera,,,Tehsil  Chakwal,District Chakwal,Punjab
73.0904,33.1631,Phimba Miana,,,Tehsil Gujar Khan,District Rawalpindi,Punjab
73.0906,30.6562,Govt Imamia College,Kachi Pakki Road,,Sahiwal City,District Sahiwal,Punjab
73.0906,31.3389,Niamuana,,,Faisalabad,Faisalabad,Punjab
73.0906,31.4277,New Karachi Car AC,,,Faisalabad City,District Faisalabad,Punjab
